,Anno,Età,Obiettivo Prelievo (Nom.),Prelievo Effettivo (Nom.),Prelievo Effettivo (Reale),Fonte: Conto Corrente,Fonte: Vendita ETF,Vendita ETF (Rebalance),Pensione Pubblica (Nom.),Rendita FP (Nom.),Liquidazione FP (Nom.),Patrimonio Banca (Nom.),Patrimonio ETF (Nom.),Patrimonio FP (Nom.),Patrimonio Banca (Reale),Patrimonio ETF (Reale),Patrimonio FP (Reale),Variazione Netta Patrimonio %,Rendimento Portafoglio %
60,61,88,54156.68840413416,54156.68840413416,11878.854639498704,54156.68840413416,0,4103.618388686315,38299.92708700033,3533.276302946734,0,590135.5593694438,65609.37173860105,0,126667.9617039892,14082.536215387088,0,-0.014347866205236374,-0.014166998574192232
61,62,89,56097.40784565584,56097.40784565584,11866.560709917296,56097.40784565584,0,3314.954162070455,39712.32866914257,3663.5743327338837,0,580394.2074874166,64521.6676319706,0,121134.32595166197,13466.345144468689,0,-0.016514128398002623,-0.016578486850385505
62,63,90,57594.24392667424,57594.24392667424,11860.61851767452,57594.24392667424,0,16522.01631903722,40790.76805703815,3763.0634081245553,0,581762.9171939578,64871.31237166031,0,118885.51233030192,13256.70471408312,0,0.0026644629362129117,0.005419028250851595
63,64,91,58797.87801968548,58797.87801968548,11800.988828902313,58797.87801968548,0,0,41856.82231191194,3861.4099200603337,0,562764.6691452975,62529.407682810845,0,111180.7635089191,12353.41816765768,0,-0.03300189158227091,-0.036100775569827194
64,65,92,60712.014664676586,60712.014664676586,11816.65257507121,60712.014664676586,0,17422.55511615429,43160.66481992629,3981.6930690563368,0,564272.0623940733,62953.7297206398,0,107721.11603475246,12018.043202928402,0,0.003089290876388472,0.006785959655677342
65,66,93,62630.68516663418,62630.68516663418,11761.75557628164,62630.68516663418,0,0,44731.380470300704,4126.596018180207,0,541597.6004934204,60177.5111659356,0,99447.77943252244,11049.753270280271,0,-0.04057658466108249,-0.04409934990387076
66,67,94,65114.66331797915,65114.66331797915,11829.328062052231,65114.66331797915,0,4436.523660411622,46238.38099882592,4265.621067597955,0,530957.3106605529,59043.27365580847,0,94837.85121628598,10546.115647839473,0,-0.01956632488593117,-0.018848195748733077
67,68,95,67119.98237801563,67119.98237801563,11812.33336601413,67119.98237801563,0,3972.296685810368,47732.15325795614,4403.425771852219,0,519496.05847936426,57767.91155535067,0,90079.06866884646,10016.783740539171,0,-0.02158746045379697,-0.021600463888443895
68,69,96,69275.63691739494,69275.63691739494,11968.05906238081,69275.63691739494,0,0,48622.62754826184,4485.574536813924,0,479624.2438738976,53291.58265265529,0,82593.04824949577,9177.005361055086,0,-0.07682472111587882,-0.07748815531277009
69,70,97,69539.05678958852,69539.05678958852,11955.458767583497,69539.05678958852,0,6462.429516300406,48858.960960944154,4507.376960738339,0,469866.96588234825,52208.883835810266,0,79882.89755988278,8876.122864564484,0,-0.02034087987036788,-0.020316507090845048
